               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.096833,0.045299,0.061015,0.91642,0.036551,0.010971,0.0028697,0.086226,0.038561,0.050453,0.07005,0.0033278,0.0033278
1,0.082162,0.042872,0.040106,0.6056,0.10781,0.043658,0.011015,0.08165,0.035011,0.032669,0.039984,0.0065952,0.0065952
2,0.075463,0.040252,0.03021,0.60164,0.17222,0.1407,0.040235,0.069445,0.033844,0.025227,0.0098516,0.0097966,0.0097966
3,0.069376,0.038612,0.024285,0.40623,0.27114,0.19234,0.06564,0.065536,0.033052,0.020361,0.009703,0.009703,0.009703
4,0.065043,0.037151,0.020482,0.59963,0.28666,0.27278,0.10353,0.06142,0.032485,0.018147,0.009703,0.009703,0.009703
5,0.062102,0.035968,0.017525,0.44306,0.36201,0.29043,0.1132,0.057508,0.031226,0.017167,0.009604,0.009604,0.009604
6,0.059132,0.035696,0.015798,0.5961,0.3808,0.38649,0.15268,0.055416,0.03025,0.01432,0.009505,0.009505,0.009505
7,0.057745,0.035278,0.013855,0.54488,0.44705,0.40178,0.14557,0.055749,0.029768,0.01373,0.009406,0.009406,0.009406
8,0.05622,0.034557,0.013136,0.55254,0.4825,0.44771,0.18964,0.053101,0.029807,0.01203,0.009307,0.009307,0.009307
9,0.054657,0.034777,0.012084,0.64837,0.4688,0.4739,0.20261,0.051884,0.029129,0.01223,0.009208,0.009208,0.009208
10,0.054146,0.033874,0.011645,0.68779,0.46577,0.46744,0.19765,0.05167,0.028759,0.011138,0.009109,0.009109,0.009109
11,0.052613,0.03312,0.010795,0.61796,0.47405,0.48344,0.21654,0.050548,0.028641,0.010723,0.00901,0.00901,0.00901
12,0.052076,0.032742,0.010213,0.60925,0.50647,0.50523,0.22598,0.049454,0.028708,0.011137,0.008911,0.008911,0.008911
13,0.051497,0.032342,0.0096839,0.68574,0.48916,0.51809,0.22721,0.049636,0.028835,0.011167,0.008812,0.008812,0.008812
14,0.050919,0.032543,0.0098362,0.61375,0.57525,0.54459,0.24807,0.048713,0.027906,0.010131,0.008713,0.008713,0.008713
15,0.04987,0.032259,0.009023,0.68781,0.52882,0.55199,0.24856,0.04879,0.028232,0.010534,0.008614,0.008614,0.008614
16,0.049174,0.031656,0.009172,0.69781,0.51004,0.54059,0.24539,0.047401,0.02797,0.010802,0.008515,0.008515,0.008515
17,0.048892,0.031756,0.0085389,0.6999,0.54779,0.57134,0.26225,0.047035,0.027409,0.009377,0.008416,0.008416,0.008416
18,0.048451,0.031842,0.0082133,0.6994,0.53289,0.56459,0.26487,0.04753,0.027755,0.0093004,0.008317,0.008317,0.008317
19,0.04786,0.031036,0.0077503,0.69911,0.54517,0.55864,0.27011,0.046617,0.027708,0.0097274,0.008218,0.008218,0.008218
20,0.047272,0.031103,0.0077217,0.71161,0.57095,0.58221,0.27342,0.046442,0.027336,0.0087437,0.008119,0.008119,0.008119
21,0.047277,0.030682,0.0077169,0.70489,0.57519,0.58899,0.2784,0.045774,0.027108,0.0095007,0.00802,0.00802,0.00802
22,0.046677,0.030248,0.00756,0.72148,0.56909,0.5925,0.28654,0.045586,0.027322,0.0086417,0.007921,0.007921,0.007921
23,0.046208,0.030859,0.0070466,0.67357,0.58488,0.60063,0.2876,0.046059,0.02726,0.0089537,0.007822,0.007822,0.007822
24,0.045642,0.030609,0.0064936,0.7284,0.57191,0.59143,0.29672,0.044738,0.026966,0.0086233,0.007723,0.007723,0.007723
25,0.045456,0.030641,0.0066519,0.74319,0.58258,0.62292,0.29632,0.044918,0.026935,0.0087101,0.007624,0.007624,0.007624
26,0.044992,0.03001,0.0063428,0.70221,0.57027,0.60952,0.2901,0.044954,0.026999,0.0081347,0.007525,0.007525,0.007525
